,,,,,0
100,100,100,,,0.663733711140664
100,100,100,,1000,0.662779504903891
50,2,100,sqrt,,0.662743062247307
50,2,100,,1000,0.66244667780143
50,2,100,,,0.662330604649551
50,100,10,,1000,0.661813142667567
50,10,100,sqrt,,0.661376942028727
400,10,100,,1000,0.661083930173914
400,10,1,sqrt,100,0.660848954895041
100,100,1,sqrt,1000,0.660838429743338
100,2,10,sqrt,100,0.660363611984116
400,100,1,,100,0.66017560451353
50,10,100,,,0.660168451952891
50,10,10,sqrt,1000,0.659874896482128
100,10,100,,1000,0.659792029633206
400,2,100,,,0.659701873986207
100,10,100,,100,0.659485663651576
400,100,100,,100,0.659477967474986
100,2,100,,100,0.659206549539529
100,2,100,,1000,0.659206549539529
50,100,100,,,0.658914081300665
100,10,100,,,0.658914081300665
400,10,1,,100,0.658823382037717
400,100,100,,,0.658739971572845
50,10,100,,100,0.65863646179903
50,10,1,sqrt,100,0.658618240470738
100,100,1,,100,0.658277173575739
100,100,10,sqrt,,0.658217938872533
400,2,100,,1000,0.658172712807461
50,2,100,,100,0.657887940745186
100,100,100,sqrt,,0.657877415593483
400,10,100,,,0.657785221720123
400,100,100,,1000,0.657687369896536
100,100,10,sqrt,1000,0.657504773243375
100,10,1,sqrt,100,0.657454025465511
400,10,100,,100,0.657452938233612
400,100,10,,100,0.657051549403508
50,2,10,,100,0.657049264044344
50,2,100,sqrt,100,0.656904444412469
400,2,100,,100,0.656870287115049
400,10,10,,100,0.656737487245289
100,100,10,,,0.656705368174231
50,2,10,sqrt,1000,0.656651247805304
100,2,100,,,0.656603736381067
100,10,100,sqrt,100,0.656598622046788
50,100,100,,1000,0.656501560971953
400,10,100,sqrt,1000,0.656464327566616
400,2,10,sqrt,1000,0.656446106238324
50,100,10,sqrt,,0.65640911996579
400,10,10,sqrt,1000,0.656347710798787
50,10,100,sqrt,100,0.656340014622198
400,2,100,sqrt,,0.656243250030509
100,100,10,,1000,0.656228265055845
50,100,10,sqrt,100,0.656181840863506
100,100,10,sqrt,100,0.656171315711803
100,10,10,sqrt,100,0.656123804287567
50,100,100,sqrt,,0.656110993776699
50,10,100,,1000,0.656086818015033
50,10,10,,100,0.656053204333562
50,2,10,sqrt,,0.656052957200759
50,100,10,sqrt,1000,0.656025952463979
100,100,100,,100,0.65601825628739
400,100,1,sqrt,,0.655941998383158
400,100,10,sqrt,,0.655928644256341
400,100,100,sqrt,100,0.655889372624643
100,2,10,,100,0.65585184273616
50,100,1,,100,0.655808654897449
50,100,100,sqrt,1000,0.655726331664476
50,2,1,sqrt,100,0.655694212593417
400,2,1,,100,0.655569899648999
100,100,10,,100,0.655532369760516
400,10,100,sqrt,100,0.655520646481547
400,100,100,sqrt,1000,0.655510121329844
100,2,100,sqrt,100,0.655494728976665
400,2,10,sqrt,,0.655432776193713
400,10,100,sqrt,,0.655394048177964
400,100,100,sqrt,,0.655394048177964
50,2,100,sqrt,1000,0.655364758082019
100,100,1,sqrt,,0.65531387406672
50,100,100,sqrt,100,0.655267449874381
400,100,1,sqrt,1000,0.654992115731911
100,2,100,sqrt,1000,0.654974438019568
100,10,10,,100,0.654818006004092
100,2,10,sqrt,,0.65474174809986
50,2,10,,,0.654651592452861
100,10,100,sqrt,1000,0.654644983508171
50,2,10,sqrt,100,0.654599757443098
50,10,1,,100,0.654503943845873
400,2,100,sqrt,100,0.654341990117604
50,100,10,,,0.654213760966173
400,100,1,sqrt,100,0.654109300197895
50,100,100,,100,0.653877697510085
400,100,10,,1000,0.653765947943731
50,10,100,sqrt,1000,0.653737745079686
100,100,1,sqrt,100,0.653650418407801
400,2,100,sqrt,1000,0.653648133048637
400,2,10,sqrt,100,0.653560806376752
400,2,10,,100,0.653504511544027
50,100,1,sqrt,,0.653297084617884
100,2,1,sqrt,1000,0.653286015850231
100,2,1,,100,0.653212586921113
100,2,10,sqrt,1000,0.653107038920936
400,100,10,sqrt,100,0.653054413162421
50,100,1,sqrt,100,0.652959933929897
400,10,10,sqrt,,0.652930643833952
50,10,10,sqrt,100,0.652891372202254
400,100,10,sqrt,1000,0.652501052139803
100,10,100,sqrt,,0.652393218780462
100,100,100,sqrt,1000,0.652266620476879
50,10,10,,1000,0.652098576077801
100,100,100,sqrt,100,0.651900723308897
100,10,1,,100,0.651737546111294
50,100,10,,100,0.651356800206083
50,2,1,,100,0.651177032528036
400,100,10,,,0.651107927184443
400,2,1,sqrt,100,0.651077438961233
100,10,10,sqrt,,0.650905614592578
100,2,100,sqrt,,0.650874582753418
400,10,10,sqrt,100,0.65044390382737
50,10,10,sqrt,,0.649925490850924
100,100,1,,1000,0.649665005445683
400,100,1,,1000,0.649517356838694
400,2,1,sqrt,1000,0.649385891333636
400,100,1,,,0.64936484103023
100,10,10,sqrt,1000,0.649035930134782
50,2,1,sqrt,1000,0.649026355977542
100,2,1,sqrt,100,0.648810281880346
400,10,1,sqrt,1000,0.648418330970046
400,2,1,sqrt,,0.648360294394107
50,100,1,sqrt,1000,0.648334376889225
50,10,1,sqrt,1000,0.648198451561205
400,2,10,,1000,0.647927330108894
100,10,10,,,0.647479517086452
50,100,1,,,0.647268421086099
100,100,1,,,0.647258439550345
50,100,1,,1000,0.646635429568185
400,10,1,sqrt,,0.646607226704139
400,2,10,,,0.646419219233554
100,10,1,sqrt,1000,0.645897977281993
400,10,10,,1000,0.645649647876303
100,10,1,sqrt,,0.645337871077249
100,2,10,,1000,0.645247715430251
400,10,10,,,0.644452226568119
100,10,10,,1000,0.643463072285174
50,10,10,,,0.642944115692778
100,2,1,sqrt,,0.641537636610602
100,10,1,,1000,0.641519279044875
100,2,10,,,0.641166081492393
50,2,10,,1000,0.641096025154338
400,2,1,,,0.638620761293921
400,10,1,,,0.637568159617612
50,10,1,sqrt,,0.635097355580157
400,10,1,,1000,0.634996921914259
400,2,1,,1000,0.633388673856167
50,2,1,,1000,0.632233106021991
50,2,1,sqrt,,0.631992065414377
100,2,1,,1000,0.63058300448989
50,10,1,,1000,0.625744609705649
100,10,1,,,0.620369197246432
100,2,1,,,0.617324772631705
50,2,1,,,0.614981765025099
50,10,1,,,0.612662525801646
