,,,,,,,0
0.001,adam,32,3,relu,0.4,64,0.6543152332305908
0.001,adam,32,3,relu,0.4,128,0.6565547386805216
0.001,adam,32,3,relu,0.4,256,0.6599016586939493
0.001,adam,32,3,swish,0.4,64,0.6556807160377502
0.001,adam,32,3,swish,0.4,128,0.6556061108907064
0.001,adam,32,3,swish,0.4,256,0.6566830277442932
0.001,adam,32,5,relu,0.4,256,0.6520480513572693
0.001,adam,32,5,relu,0.4,512,0.6523526310920715
0.001,adam,32,5,swish,0.4,256,0.6540990869204203
0.001,adam,32,5,swish,0.4,512,0.6531509359677633
0.001,adam,256,3,relu,0.4,64,0.6555248300234476
0.001,adam,256,3,relu,0.4,128,0.6599309245745341
0.001,adam,256,3,relu,0.4,256,0.6561567385991415
0.001,adam,256,3,swish,0.4,64,0.6569163203239441
0.001,adam,256,3,swish,0.4,128,0.6550637682278951
0.001,adam,256,3,swish,0.4,256,0.6533190011978149
0.001,adam,256,5,relu,0.4,256,0.6583808064460754
0.001,adam,256,5,relu,0.4,512,0.6523852944374084
0.001,adam,256,5,swish,0.4,256,0.6523863871892294
0.001,adam,256,5,swish,0.4,512,0.653584361076355
0.01,adam,32,3,relu,0.4,64,0.654812236626943
0.01,adam,32,3,relu,0.4,128,0.6520861784617106
0.01,adam,32,3,relu,0.4,256,0.6519894599914551
0.01,adam,32,3,swish,0.4,64,0.6545573671658834
0.01,adam,32,3,swish,0.4,128,0.652747372786204
0.01,adam,32,3,swish,0.4,256,0.6517942547798157
0.01,adam,32,5,relu,0.4,256,0.6546927690505981
0.01,adam,32,5,relu,0.4,512,0.659731944402059
0.01,adam,32,5,swish,0.4,256,0.6241483092308044
0.01,adam,32,5,swish,0.4,512,0.6285743316014608
0.01,adam,256,3,relu,0.4,64,0.6551903684933981
0.01,adam,256,3,relu,0.4,128,0.6551715532938639
0.01,adam,256,3,relu,0.4,256,0.6544628540674845
0.01,adam,256,3,swish,0.4,64,0.6550007263819376
0.01,adam,256,3,swish,0.4,128,0.6507964134216309
0.01,adam,256,3,swish,0.4,256,0.6556956569353739
0.01,adam,256,5,relu,0.4,256,0.649879256884257
0.01,adam,256,5,relu,0.4,512,0.6538569331169128
0.01,adam,256,5,swish,0.4,256,0.6522730390230814
0.01,adam,256,5,swish,0.4,512,0.6509711146354675
0.1,adam,32,3,relu,0.4,64,0.5948744416236877
0.1,adam,32,3,relu,0.4,128,0.5917717218399048
0.1,adam,32,3,relu,0.4,256,0.6261462767918905
0.1,adam,32,3,swish,0.4,64,0.6272895336151123
0.1,adam,32,3,swish,0.4,128,0.6232914129892985
0.1,adam,32,3,swish,0.4,256,0.6261473695437113
0.1,adam,32,5,relu,0.4,256,0.5994607011477152
0.1,adam,32,5,relu,0.4,512,0.5934855143229166
0.1,adam,32,5,swish,0.4,256,0.6242920358975729
0.1,adam,32,5,swish,0.4,512,0.624290943145752
0.1,adam,256,3,relu,0.4,64,0.6284327904383341
0.1,adam,256,3,relu,0.4,128,0.6578041712443033
0.1,adam,256,3,relu,0.4,256,0.6570412317911783
0.1,adam,256,3,swish,0.4,64,0.6532725691795349
0.1,adam,256,3,swish,0.4,128,0.6553954482078552
0.1,adam,256,3,swish,0.4,256,0.6567493875821432
0.1,adam,256,5,relu,0.4,256,0.6301421920458475
0.1,adam,256,5,relu,0.4,512,0.6342851519584656
0.1,adam,256,5,swish,0.4,256,0.6281475226084391
0.1,adam,256,5,swish,0.4,512,0.6282901565233866
