,,,,,0
50,2,1,sqrt,100,"[0.6456513482719332, 0.65807962529274, 0.6683804627249358]"
50,2,1,sqrt,1000,"[0.6232434485377896, 0.6375878220140515, 0.6606683804627249]"
50,2,1,sqrt,,"[0.6110900113938473, 0.6387587822014051, 0.6401028277634961]"
50,2,1,,100,"[0.6441321686289404, 0.6574941451990632, 0.6683804627249358]"
50,2,1,,1000,"[0.6160273452335738, 0.6446135831381733, 0.6401028277634961]"
50,2,1,,,"[0.6080516521078617, 0.6276346604215457, 0.5938303341902313]"
50,2,10,sqrt,100,"[0.6429927838966958, 0.6504683840749415, 0.6760925449871465]"
50,2,10,sqrt,1000,"[0.6399544246107102, 0.6510538641686182, 0.6683804627249358]"
50,2,10,sqrt,,"[0.6448917584504368, 0.6481264637002342, 0.6555269922879178]"
50,2,10,,100,"[0.6471705279149259, 0.642271662763466, 0.6555269922879178]"
50,2,10,,1000,"[0.6437523737181922, 0.6633489461358314, 0.6735218508997429]"
50,2,10,,,"[0.641473604253703, 0.6569086651053864, 0.6478149100257069]"
50,2,100,sqrt,100,"[0.6441321686289404, 0.6569086651053864, 0.6580976863753213]"
50,2,100,sqrt,1000,"[0.643372578807444, 0.6627634660421545, 0.6735218508997429]"
50,2,100,sqrt,,"[0.6388150398784657, 0.6586651053864169, 0.6786632390745502]"
50,2,100,,100,"[0.6513482719331561, 0.6592505854800936, 0.6606683804627249]"
50,2,100,,1000,"[0.6475503228256742, 0.6668618266978923, 0.6786632390745502]"
50,2,100,,,"[0.6467907330041778, 0.6680327868852459, 0.6580976863753213]"
50,10,1,sqrt,100,"[0.6429927838966958, 0.6504683840749415, 0.6786632390745502]"
50,10,1,sqrt,1000,"[0.6243828332700342, 0.6434426229508197, 0.6735218508997429]"
50,10,1,sqrt,,"[0.641473604253703, 0.6399297423887588, 0.6529562982005142]"
50,10,1,,100,"[0.6429927838966958, 0.6633489461358314, 0.6709511568123393]"
50,10,1,,1000,"[0.6133687808583365, 0.6247072599531616, 0.6555269922879178]"
50,10,1,,,"[0.6110900113938473, 0.6375878220140515, 0.6735218508997429]"
50,10,10,sqrt,100,"[0.6422331940751994, 0.6586651053864169, 0.6683804627249358]"
50,10,10,sqrt,1000,"[0.6350170907709837, 0.6498829039812647, 0.6555269922879178]"
50,10,10,sqrt,,"[0.643372578807444, 0.6545667447306791, 0.6658097686375322]"
50,10,10,,100,"[0.643372578807444, 0.6633489461358314, 0.6580976863753213]"
50,10,10,,1000,"[0.6331181162172427, 0.6545667447306791, 0.6375321336760925]"
50,10,10,,,"[0.6296999620205089, 0.6557377049180327, 0.6863753213367609]"
50,10,100,sqrt,100,"[0.6445119635396885, 0.6563231850117096, 0.6606683804627249]"
50,10,100,sqrt,1000,"[0.6505886821116597, 0.655152224824356, 0.6632390745501285]"
50,10,100,sqrt,,"[0.639574629699962, 0.6563231850117096, 0.6529562982005142]"
50,10,100,,100,"[0.6460311431826814, 0.6598360655737705, 0.6735218508997429]"
50,10,100,,1000,"[0.6441321686289404, 0.6610070257611241, 0.6709511568123393]"
50,10,100,,,"[0.6517280668439043, 0.6604215456674473, 0.6735218508997429]"
50,100,1,sqrt,100,"[0.6418533991644512, 0.6615925058548009, 0.6709511568123393]"
50,100,1,sqrt,1000,"[0.6384352449677174, 0.6545667447306791, 0.6503856041131105]"
50,100,1,sqrt,,"[0.6410938093429548, 0.6498829039812647, 0.6658097686375322]"
50,100,1,,100,"[0.6452715533611849, 0.6662763466042154, 0.6658097686375322]"
50,100,1,,1000,"[0.6441321686289404, 0.6621779859484778, 0.6555269922879178]"
50,100,1,,,"[0.6407140144322067, 0.6569086651053864, 0.6401028277634961]"
50,100,10,sqrt,100,"[0.6445119635396885, 0.655152224824356, 0.6812339331619537]"
50,100,10,sqrt,1000,"[0.6441321686289404, 0.6492974238875878, 0.6580976863753213]"
50,100,10,sqrt,,"[0.6418533991644512, 0.6481264637002342, 0.6658097686375322]"
50,100,10,,100,"[0.6464109380934295, 0.6662763466042154, 0.6735218508997429]"
50,100,10,,1000,"[0.637675655146221, 0.6639344262295082, 0.6709511568123393]"
50,100,10,,,"[0.643372578807444, 0.6545667447306791, 0.6580976863753213]"
50,100,100,sqrt,100,"[0.6471705279149259, 0.6492974238875878, 0.6683804627249358]"
50,100,100,sqrt,1000,"[0.6441321686289404, 0.6615925058548009, 0.6683804627249358]"
50,100,100,sqrt,,"[0.6418533991644512, 0.6492974238875878, 0.6760925449871465]"
50,100,100,,100,"[0.6483099126471705, 0.6610070257611241, 0.6606683804627249]"
50,100,100,,1000,"[0.6441321686289404, 0.6656908665105387, 0.6683804627249358]"
50,100,100,,,"[0.6437523737181922, 0.664519906323185, 0.6760925449871465]"
100,2,1,sqrt,100,"[0.6456513482719332, 0.664519906323185, 0.6735218508997429]"
100,2,1,sqrt,1000,"[0.637675655146221, 0.6428571428571429, 0.6580976863753213]"
100,2,1,sqrt,,"[0.6327383213064945, 0.6440281030444965, 0.6401028277634961]"
100,2,1,,100,"[0.643372578807444, 0.6586651053864169, 0.6709511568123393]"
100,2,1,,1000,"[0.6293201671097607, 0.6545667447306791, 0.6349614395886889]"
100,2,1,,,"[0.6179263197873148, 0.6387587822014051, 0.6349614395886889]"
100,2,10,sqrt,100,"[0.637675655146221, 0.6557377049180327, 0.6838046272493573]"
100,2,10,sqrt,1000,"[0.6399544246107102, 0.6545667447306791, 0.6683804627249358]"
100,2,10,sqrt,,"[0.641473604253703, 0.6621779859484778, 0.6606683804627249]"
100,2,10,,100,"[0.6441321686289404, 0.6697892271662763, 0.6812339331619537]"
100,2,10,,1000,"[0.643372578807444, 0.6639344262295082, 0.6683804627249358]"
100,2,10,,,"[0.6452715533611849, 0.6574941451990632, 0.6606683804627249]"
100,2,100,sqrt,100,"[0.6426129889859475, 0.6528103044496487, 0.6683804627249358]"
100,2,100,sqrt,1000,"[0.6399544246107102, 0.6569086651053864, 0.6580976863753213]"
100,2,100,sqrt,,"[0.6418533991644512, 0.6557377049180327, 0.6683804627249358]"
100,2,100,,100,"[0.6460311431826814, 0.6610070257611241, 0.6606683804627249]"
100,2,100,,1000,"[0.6452715533611849, 0.6621779859484778, 0.6683804627249358]"
100,2,100,,,"[0.6460311431826814, 0.6633489461358314, 0.6760925449871465]"
100,10,1,sqrt,100,"[0.6486897075579188, 0.6592505854800936, 0.6658097686375322]"
100,10,1,sqrt,1000,"[0.6346372958602354, 0.6528103044496487, 0.6632390745501285]"
100,10,1,sqrt,,"[0.6315989365742499, 0.632903981264637, 0.6632390745501285]"
100,10,1,,100,"[0.6365362704139764, 0.6668618266978923, 0.6683804627249358]"
100,10,1,,1000,"[0.639574629699962, 0.6340749414519906, 0.6349614395886889]"
100,10,1,,,"[0.6205848841625522, 0.6487119437939111, 0.6246786632390745]"
100,10,10,sqrt,100,"[0.6452715533611849, 0.6610070257611241, 0.6683804627249358]"
100,10,10,sqrt,1000,"[0.6391948347892138, 0.6574941451990632, 0.6683804627249358]"
100,10,10,sqrt,,"[0.6479301177364223, 0.65807962529274, 0.6632390745501285]"
100,10,10,,100,"[0.6429927838966958, 0.6703747072599532, 0.6580976863753213]"
100,10,10,,1000,"[0.6372958602354728, 0.6545667447306791, 0.6401028277634961]"
100,10,10,,,"[0.6403342195214584, 0.6563231850117096, 0.6760925449871465]"
100,10,100,sqrt,100,"[0.6391948347892138, 0.6569086651053864, 0.6786632390745502]"
100,10,100,sqrt,1000,"[0.6437523737181922, 0.6557377049180327, 0.6735218508997429]"
100,10,100,sqrt,,"[0.6437523737181922, 0.65807962529274, 0.6555269922879178]"
100,10,100,,100,"[0.6486897075579188, 0.6610070257611241, 0.6709511568123393]"
100,10,100,,1000,"[0.6483099126471705, 0.6598360655737705, 0.6735218508997429]"
100,10,100,,,"[0.6448917584504368, 0.6615925058548009, 0.6786632390745502]"
100,100,1,sqrt,100,"[0.6388150398784657, 0.6487119437939111, 0.6606683804627249]"
100,100,1,sqrt,1000,"[0.6441321686289404, 0.6446135831381733, 0.6658097686375322]"
100,100,1,sqrt,,"[0.6464109380934295, 0.655152224824356, 0.6786632390745502]"
100,100,1,,100,"[0.643372578807444, 0.6604215456674473, 0.6606683804627249]"
100,100,1,,1000,"[0.6361564755032283, 0.6610070257611241, 0.6580976863753213]"
100,100,1,,,"[0.6372958602354728, 0.6563231850117096, 0.6632390745501285]"
100,100,10,sqrt,100,"[0.6407140144322067, 0.6539812646370023, 0.6760925449871465]"
100,100,10,sqrt,1000,"[0.6426129889859475, 0.6604215456674473, 0.6606683804627249]"
100,100,10,sqrt,,"[0.6464109380934295, 0.6469555035128806, 0.6683804627249358]"
100,100,10,,100,"[0.6441321686289404, 0.6574941451990632, 0.6606683804627249]"
100,100,10,,1000,"[0.6426129889859475, 0.6569086651053864, 0.6683804627249358]"
100,100,10,,,"[0.6388150398784657, 0.655152224824356, 0.6709511568123393]"
100,100,100,sqrt,100,"[0.6441321686289404, 0.6522248243559718, 0.6709511568123393]"
100,100,100,sqrt,1000,"[0.6441321686289404, 0.6545667447306791, 0.6580976863753213]"
100,100,100,sqrt,,"[0.6452715533611849, 0.6557377049180327, 0.6786632390745502]"
100,100,100,,100,"[0.6502088872009115, 0.6592505854800936, 0.6683804627249358]"
100,100,100,,1000,"[0.6464109380934295, 0.6633489461358314, 0.6683804627249358]"
100,100,100,,,"[0.6521078617546525, 0.6574941451990632, 0.6683804627249358]"
400,2,1,sqrt,100,"[0.6418533991644512, 0.6598360655737705, 0.6735218508997429]"
400,2,1,sqrt,1000,"[0.6410938093429548, 0.6574941451990632, 0.6889460154241646]"
400,2,1,sqrt,,"[0.6418533991644512, 0.6481264637002342, 0.6529562982005142]"
400,2,1,,100,"[0.6418533991644512, 0.6598360655737705, 0.6683804627249358]"
400,2,1,,1000,"[0.6315989365742499, 0.6586651053864169, 0.6452442159383034]"
400,2,1,,,"[0.6270413976452716, 0.6475409836065574, 0.6452442159383034]"
400,2,10,sqrt,100,"[0.641473604253703, 0.6557377049180327, 0.6838046272493573]"
400,2,10,sqrt,1000,"[0.6437523737181922, 0.6586651053864169, 0.6786632390745502]"
400,2,10,sqrt,,"[0.6426129889859475, 0.6574941451990632, 0.6786632390745502]"
400,2,10,,100,"[0.639574629699962, 0.664519906323185, 0.6735218508997429]"
400,2,10,,1000,"[0.6407140144322067, 0.6539812646370023, 0.6606683804627249]"
400,2,10,,,"[0.6410938093429548, 0.65807962529274, 0.6580976863753213]"
400,2,100,sqrt,100,"[0.639574629699962, 0.6481264637002342, 0.6683804627249358]"
400,2,100,sqrt,1000,"[0.6418533991644512, 0.6545667447306791, 0.6760925449871465]"
400,2,100,sqrt,,"[0.6464109380934295, 0.655152224824356, 0.6709511568123393]"
400,2,100,,100,"[0.6479301177364223, 0.6633489461358314, 0.6632390745501285]"
400,2,100,,1000,"[0.6483099126471705, 0.6604215456674473, 0.6632390745501285]"
400,2,100,,,"[0.6471705279149259, 0.6621779859484778, 0.6683804627249358]"
400,10,1,sqrt,100,"[0.641473604253703, 0.6586651053864169, 0.6658097686375322]"
400,10,1,sqrt,1000,"[0.6403342195214584, 0.6533957845433255, 0.6735218508997429]"
400,10,1,sqrt,,"[0.6300797569312572, 0.6498829039812647, 0.6632390745501285]"
400,10,1,,100,"[0.643372578807444, 0.6604215456674473, 0.6606683804627249]"
400,10,1,,1000,"[0.6281807823775162, 0.6434426229508197, 0.6529562982005142]"
400,10,1,,,"[0.6232434485377896, 0.6451990632318502, 0.6401028277634961]"
400,10,10,sqrt,100,"[0.6441321686289404, 0.6545667447306791, 0.6683804627249358]"
400,10,10,sqrt,1000,"[0.6441321686289404, 0.6557377049180327, 0.6632390745501285]"
400,10,10,sqrt,,"[0.6448917584504368, 0.6528103044496487, 0.6709511568123393]"
400,10,10,,100,"[0.639574629699962, 0.6563231850117096, 0.6606683804627249]"
400,10,10,,1000,"[0.6380554500569693, 0.6656908665105387, 0.6760925449871465]"
400,10,10,,,"[0.6384352449677174, 0.6586651053864169, 0.6426735218508998]"
400,10,100,sqrt,100,"[0.6399544246107102, 0.6545667447306791, 0.6658097686375322]"
400,10,100,sqrt,1000,"[0.641473604253703, 0.655152224824356, 0.6735218508997429]"
400,10,100,sqrt,,"[0.6441321686289404, 0.6533957845433255, 0.6709511568123393]"
400,10,100,,100,"[0.6475503228256742, 0.6615925058548009, 0.6580976863753213]"
400,10,100,,1000,"[0.6456513482719332, 0.6610070257611241, 0.6632390745501285]"
400,10,100,,,"[0.6479301177364223, 0.6651053864168618, 0.6760925449871465]"
400,100,1,sqrt,100,"[0.641473604253703, 0.6539812646370023, 0.6632390745501285]"
400,100,1,sqrt,1000,"[0.6422331940751994, 0.655152224824356, 0.6838046272493573]"
400,100,1,sqrt,,"[0.6460311431826814, 0.6574941451990632, 0.6760925449871465]"
400,100,1,,100,"[0.6399544246107102, 0.6651053864168618, 0.6683804627249358]"
400,100,1,,1000,"[0.6384352449677174, 0.6621779859484778, 0.6503856041131105]"
400,100,1,,,"[0.6372958602354728, 0.6627634660421545, 0.6606683804627249]"
400,100,10,sqrt,100,"[0.6429927838966958, 0.6592505854800936, 0.6735218508997429]"
400,100,10,sqrt,1000,"[0.6426129889859475, 0.6539812646370023, 0.6658097686375322]"
400,100,10,sqrt,,"[0.643372578807444, 0.6557377049180327, 0.6555269922879178]"
400,100,10,,100,"[0.6441321686289404, 0.664519906323185, 0.6838046272493573]"
400,100,10,,1000,"[0.6437523737181922, 0.6598360655737705, 0.6658097686375322]"
400,100,10,,,"[0.641473604253703, 0.6639344262295082, 0.6658097686375322]"
400,100,100,sqrt,100,"[0.641473604253703, 0.6522248243559718, 0.6683804627249358]"
400,100,100,sqrt,1000,"[0.6456513482719332, 0.6522248243559718, 0.6760925449871465]"
400,100,100,sqrt,,"[0.6399544246107102, 0.6533957845433255, 0.6735218508997429]"
400,100,100,,100,"[0.6475503228256742, 0.6621779859484778, 0.6735218508997429]"
400,100,100,,1000,"[0.6464109380934295, 0.6633489461358314, 0.6735218508997429]"
400,100,100,,,"[0.6475503228256742, 0.6627634660421545, 0.6606683804627249]"
