,,,,,0
50,2,1,sqrt,100,"[0.6524876566654007, 0.6586651053864169, 0.6709511568123393]"
50,2,1,sqrt,1000,"[0.6418533991644512, 0.642271662763466, 0.6632390745501285]"
50,2,1,sqrt,,"[0.6293201671097607, 0.6364168618266979, 0.5912596401028277]"
50,2,1,,100,"[0.6475503228256742, 0.6615925058548009, 0.6580976863753213]"
50,2,1,,1000,"[0.6236232434485378, 0.6247072599531616, 0.6375321336760925]"
50,2,1,,,"[0.6019749335358906, 0.6135831381733021, 0.6143958868894601]"
50,2,10,sqrt,100,"[0.6524876566654007, 0.65807962529274, 0.6632390745501285]"
50,2,10,sqrt,1000,"[0.6448917584504368, 0.6533957845433255, 0.6529562982005142]"
50,2,10,sqrt,,"[0.6388150398784657, 0.6586651053864169, 0.6606683804627249]"
50,2,10,,100,"[0.6490695024686669, 0.6557377049180327, 0.6709511568123393]"
50,2,10,,1000,"[0.6353968856817319, 0.6487119437939111, 0.6426735218508998]"
50,2,10,,,"[0.6456513482719332, 0.6539812646370023, 0.6401028277634961]"
50,2,100,sqrt,100,"[0.6566654006836309, 0.6604215456674473, 0.6606683804627249]"
50,2,100,sqrt,1000,"[0.657045195594379, 0.6569086651053864, 0.6709511568123393]"
50,2,100,sqrt,,"[0.6490695024686669, 0.6656908665105387, 0.6658097686375322]"
50,2,100,,100,"[0.6528674515761489, 0.6633489461358314, 0.6658097686375322]"
50,2,100,,1000,"[0.6505886821116597, 0.6662763466042154, 0.6632390745501285]"
50,2,100,,,"[0.6479301177364223, 0.6703747072599532, 0.6658097686375322]"
50,10,1,sqrt,100,"[0.6540068363083935, 0.6586651053864169, 0.6658097686375322]"
50,10,1,sqrt,1000,"[0.6293201671097607, 0.6440281030444965, 0.6478149100257069]"
50,10,1,sqrt,,"[0.6331181162172427, 0.6451990632318502, 0.6426735218508998]"
50,10,1,,100,"[0.6426129889859475, 0.6668618266978923, 0.6683804627249358]"
50,10,1,,1000,"[0.6118496012153437, 0.6293911007025761, 0.609254498714653]"
50,10,1,,,"[0.6038739080896316, 0.6141686182669789, 0.6349614395886889]"
50,10,10,sqrt,100,"[0.6486897075579188, 0.6598360655737705, 0.6555269922879178]"
50,10,10,sqrt,1000,"[0.6555260159513863, 0.6557377049180327, 0.6709511568123393]"
50,10,10,sqrt,,"[0.6475503228256742, 0.6557377049180327, 0.6555269922879178]"
50,10,10,,100,"[0.6464109380934295, 0.6522248243559718, 0.6658097686375322]"
50,10,10,,1000,"[0.6399544246107102, 0.6545667447306791, 0.6143958868894601]"
50,10,10,,,"[0.6422331940751994, 0.6563231850117096, 0.6478149100257069]"
50,10,100,sqrt,100,"[0.6524876566654007, 0.6627634660421545, 0.6580976863753213]"
50,10,100,sqrt,1000,"[0.6566654006836309, 0.6592505854800936, 0.6606683804627249]"
50,10,100,sqrt,,"[0.6486897075579188, 0.6680327868852459, 0.6555269922879178]"
