,,,,,,,0
0.01,0,3,0,0.5,100,0.7,0.658386293598599
0.01,0,3,0,0.5,100,1.0,0.6559632118188576
0.01,0,3,0,0.5,200,0.7,0.6550117848895297
0.01,0,3,0,0.5,200,1.0,0.6574840707718252
0.01,0,3,0,0.5,400,0.7,0.6572198187653499
0.01,0,3,0,0.5,400,1.0,0.6590110090246476
0.01,0,3,0,1.0,100,0.7,0.6566896322394946
0.01,0,3,0,1.0,100,1.0,0.6579009143883476
0.01,0,3,0,1.0,200,0.7,0.6559488564271377
0.01,0,3,0,1.0,200,1.0,0.6611665388055036
0.01,0,3,0,1.0,400,0.7,0.6562219670409127
0.01,0,3,0,1.0,400,1.0,0.6551732319039466
0.01,0,3,5,0.5,100,0.7,0.6587500538076525
0.01,0,3,5,0.5,100,1.0,0.657105375858547
0.01,0,3,5,0.5,200,0.7,0.6545053916751988
0.01,0,3,5,0.5,200,1.0,0.6583570035026545
0.01,0,3,5,0.5,400,0.7,0.6569505874564897
0.01,0,3,5,0.5,400,1.0,0.6599934053598948
0.01,0,3,5,1.0,100,0.7,0.6566896322394946
0.01,0,3,5,1.0,100,1.0,0.6579009143883476
0.01,0,3,5,1.0,200,0.7,0.6558062234218603
0.01,0,3,5,1.0,200,1.0,0.6595793410508173
0.01,0,3,5,1.0,400,0.7,0.6550798030012234
0.01,0,3,5,1.0,400,1.0,0.6547613675898091
0.01,0,3,20,0.5,100,0.7,0.657165635360411
0.01,0,3,20,0.5,100,1.0,0.6569306734498802
0.01,0,3,20,0.5,200,0.7,0.6567709057454381
0.01,0,3,20,0.5,200,1.0,0.6585156712096265
0.01,0,3,20,0.5,400,0.7,0.6555994516098042
0.01,0,3,20,0.5,400,1.0,0.6568521792513816
0.01,0,3,20,1.0,100,0.7,0.6585300266013465
0.01,0,3,20,1.0,100,1.0,0.6570440163592131
0.01,0,3,20,1.0,200,0.7,0.656439214939774
0.01,0,3,20,1.0,200,1.0,0.660040409467509
