,,,,,,,0
0.001,adam,32,3,relu,0.4,64,0.6513962348302206
0.001,adam,32,3,relu,0.4,128,0.6562871932983398
0.001,adam,32,3,relu,0.4,256,0.6585687597592672
0.001,adam,32,3,swish,0.4,64,0.6566830277442932
0.001,adam,32,3,swish,0.4,128,0.6548730333646139
0.001,adam,32,3,swish,0.4,256,0.6576023896535238
0.001,adam,32,5,relu,0.4,256,0.6534472902615865
0.001,adam,32,5,relu,0.4,512,0.651240348815918
0.001,adam,32,5,swish,0.4,256,0.6513177553812662
0.001,adam,32,5,swish,0.4,512,0.6525129874547323
0.001,adam,256,3,relu,0.4,64,0.6494303544362386
0.001,adam,256,3,relu,0.4,128,0.6644061605135599
0.001,adam,256,3,relu,0.4,256,0.6598867376645406
0.001,adam,256,3,swish,0.4,64,0.6578688422838846
0.001,adam,256,3,swish,0.4,128,0.6562042435010275
0.001,adam,256,3,swish,0.4,256,0.6585046052932739
0.001,adam,256,5,relu,0.4,256,0.6564900875091553
0.001,adam,256,5,relu,0.4,512,0.6561738650004069
0.001,adam,256,5,swish,0.4,256,0.6265763640403748
0.001,adam,256,5,swish,0.4,512,0.6562390923500061
0.01,adam,32,3,relu,0.4,64,0.6504486997922262
0.01,adam,32,3,relu,0.4,128,0.6527783473332723
0.01,adam,32,3,relu,0.4,256,0.6540482044219971
0.01,adam,32,3,swish,0.4,64,0.6600464979807535
0.01,adam,32,3,swish,0.4,128,0.6564148863156637
0.01,adam,32,3,swish,0.4,256,0.6506537795066833
0.01,adam,32,5,relu,0.4,256,0.652793268362681
0.01,adam,32,5,relu,0.4,512,0.632429818312327
0.01,adam,32,5,swish,0.4,256,0.6244346698125204
0.01,adam,32,5,swish,0.4,512,0.6207229097684225
0.01,adam,256,3,relu,0.4,64,0.6574133237202963
0.01,adam,256,3,relu,0.4,128,0.6568571527798971
0.01,adam,256,3,relu,0.4,256,0.6590287089347839
0.01,adam,256,3,swish,0.4,64,0.6568588217099508
0.01,adam,256,3,swish,0.4,128,0.649507741133372
0.01,adam,256,3,swish,0.4,256,0.6499876181284586
0.01,adam,256,5,relu,0.4,256,0.6563994288444519
0.01,adam,256,5,relu,0.4,512,0.6586671670277914
0.01,adam,256,5,swish,0.4,256,0.6519236365954081
0.01,adam,256,5,swish,0.4,512,0.6297197937965393
0.1,adam,32,3,relu,0.4,64,0.5987255374590555
0.1,adam,32,3,relu,0.4,128,0.5866303245226542
0.1,adam,32,3,relu,0.4,256,0.5874872207641602
0.1,adam,32,3,swish,0.4,64,0.624861478805542
0.1,adam,32,3,swish,0.4,128,0.6264315247535706
0.1,adam,32,3,swish,0.4,256,0.626288890838623
0.1,adam,32,5,relu,0.4,256,0.5643509825070699
0.1,adam,32,5,relu,0.4,512,0.5917717218399048
0.1,adam,32,5,swish,0.4,256,0.6240034699440002
0.1,adam,32,5,swish,0.4,512,0.6265741586685181
0.1,adam,256,3,relu,0.4,64,0.6290022134780884
0.1,adam,256,3,relu,0.4,128,0.6570301651954651
0.1,adam,256,3,relu,0.4,256,0.6298624277114868
0.1,adam,256,3,swish,0.4,64,0.6557498375574747
0.1,adam,256,3,swish,0.4,128,0.6546850601832072
0.1,adam,256,3,swish,0.4,256,0.658092737197876
0.1,adam,256,5,relu,0.4,256,0.6231476863225301
0.1,adam,256,5,relu,0.4,512,0.6291481455167135
0.1,adam,256,5,swish,0.4,256,0.6285754243532816
0.1,adam,256,5,swish,0.4,512,0.62757807970047
