,,,,,,,0
0.001,adam,32,3,relu,0.4,64,0.6561567385991415
0.001,adam,32,3,relu,0.4,128,0.6619631846745809
0.001,adam,32,3,relu,0.4,256,0.661630392074585
0.001,adam,32,3,swish,0.4,64,0.6530458927154541
0.001,adam,32,3,swish,0.4,128,0.6527451872825623
0.001,adam,32,3,swish,0.4,256,0.6567925016085306
0.001,adam,32,5,relu,0.4,256,0.6568096280097961
0.001,adam,32,5,relu,0.4,512,0.6508091489473978
0.001,adam,32,5,swish,0.4,256,0.6264326373736063
0.001,adam,32,5,swish,0.4,512,0.6548597613970438
0.001,adam,256,3,relu,0.4,64,0.6524438858032227
0.001,adam,256,3,relu,0.4,128,0.6637261907259623
0.001,adam,256,3,relu,0.4,256,0.6579357584317526
0.001,adam,256,3,swish,0.4,64,0.6565226713816324
0.001,adam,256,3,swish,0.4,128,0.6554927627245585
0.001,adam,256,3,swish,0.4,256,0.6578716238339742
0.001,adam,256,5,relu,0.4,256,0.6556824048360189
0.001,adam,256,5,relu,0.4,512,0.6531598170598348
0.001,adam,256,5,swish,0.4,256,0.6535871426264445
0.001,adam,256,5,swish,0.4,512,0.6586981415748596
0.01,adam,32,3,relu,0.4,64,0.6497675975163778
0.01,adam,32,3,relu,0.4,128,0.6523200670878092
0.01,adam,32,3,relu,0.4,256,0.6616276105244955
0.01,adam,32,3,swish,0.4,64,0.6545573671658834
0.01,adam,32,3,swish,0.4,128,0.6531951824824015
0.01,adam,32,3,swish,0.4,256,0.6564093430836996
0.01,adam,32,5,relu,0.4,256,0.6560942530632019
0.01,adam,32,5,relu,0.4,512,0.6569201946258545
0.01,adam,32,5,swish,0.4,256,0.6224356094996134
0.01,adam,32,5,swish,0.4,512,0.6265774567921957
0.01,adam,256,3,relu,0.4,64,0.6606170336405436
0.01,adam,256,3,relu,0.4,128,0.6578240791956583
0.01,adam,256,3,relu,0.4,256,0.6573149164517721
0.01,adam,256,3,swish,0.4,64,0.654585580031077
0.01,adam,256,3,swish,0.4,128,0.6588379740715027
0.01,adam,256,3,swish,0.4,256,0.6567150950431824
0.01,adam,256,5,relu,0.4,256,0.661696712176005
0.01,adam,256,5,relu,0.4,512,0.6601399381955465
0.01,adam,256,5,swish,0.4,256,0.6218628883361816
0.01,adam,256,5,swish,0.4,512,0.6533775726954142
0.1,adam,32,3,relu,0.4,64,0.5934855143229166
0.1,adam,32,3,relu,0.4,128,0.5994386871655782
0.1,adam,32,3,relu,0.4,256,0.6240012645721436
0.1,adam,32,3,swish,0.4,64,0.6240034699440002
0.1,adam,32,3,swish,0.4,128,0.624290943145752
0.1,adam,32,3,swish,0.4,256,0.6225749254226685
0.1,adam,32,5,relu,0.4,256,0.5643509825070699
0.1,adam,32,5,relu,0.4,512,0.5960562030474345
0.1,adam,32,5,swish,0.4,256,0.6278600692749023
0.1,adam,32,5,swish,0.4,512,0.6221481561660767
0.1,adam,256,3,relu,0.4,64,0.6490306854248047
0.1,adam,256,3,relu,0.4,128,0.6282890637715658
0.1,adam,256,3,relu,0.4,256,0.6610156496365865
0.1,adam,256,3,swish,0.4,64,0.652620772520701
0.1,adam,256,3,swish,0.4,128,0.6600918173789978
0.1,adam,256,3,swish,0.4,256,0.6533029675483704
0.1,adam,256,5,relu,0.4,256,0.6265741586685181
0.1,adam,256,5,relu,0.4,512,0.6318603952725729
0.1,adam,256,5,swish,0.4,256,0.6297186811765035
0.1,adam,256,5,swish,0.4,512,0.6300028562545776
