,,,,,0
50,2,1,sqrt,100,"[0.6445119635396885, 0.6668618266978923, 0.6812339331619537]"
50,2,1,sqrt,1000,"[0.6391948347892138, 0.639344262295082, 0.6298200514138818]"
50,2,1,sqrt,,"[0.6247626281807824, 0.6381733021077284, 0.6760925449871465]"
50,2,1,,100,"[0.6494492973794151, 0.6627634660421545, 0.6786632390745502]"
50,2,1,,1000,"[0.6308393467527535, 0.6586651053864169, 0.6683804627249358]"
50,2,1,,,"[0.6160273452335738, 0.632903981264637, 0.6195372750642674]"
50,2,10,sqrt,100,"[0.6471705279149259, 0.6651053864168618, 0.6606683804627249]"
50,2,10,sqrt,1000,"[0.6445119635396885, 0.6487119437939111, 0.6426735218508998]"
50,2,10,sqrt,,"[0.6388150398784657, 0.6539812646370023, 0.6632390745501285]"
50,2,10,,100,"[0.643372578807444, 0.6610070257611241, 0.6580976863753213]"
50,2,10,,1000,"[0.6365362704139764, 0.6598360655737705, 0.6529562982005142]"
50,2,10,,,"[0.6437523737181922, 0.6446135831381733, 0.6940874035989717]"
50,2,100,sqrt,100,"[0.6448917584504368, 0.6592505854800936, 0.6658097686375322]"
50,2,100,sqrt,1000,"[0.6380554500569693, 0.6662763466042154, 0.6555269922879178]"
50,2,100,sqrt,,"[0.6391948347892138, 0.6522248243559718, 0.6709511568123393]"
50,2,100,,100,"[0.6399544246107102, 0.6563231850117096, 0.6812339331619537]"
50,2,100,,1000,"[0.6456513482719332, 0.6563231850117096, 0.6709511568123393]"
50,2,100,,,"[0.6426129889859475, 0.6574941451990632, 0.6735218508997429]"
50,10,1,sqrt,100,"[0.6452715533611849, 0.6615925058548009, 0.6683804627249358]"
50,10,1,sqrt,1000,"[0.6270413976452716, 0.6545667447306791, 0.6555269922879178]"
50,10,1,sqrt,,"[0.6437523737181922, 0.6481264637002342, 0.6632390745501285]"
50,10,1,,100,"[0.6490695024686669, 0.6656908665105387, 0.6760925449871465]"
50,10,1,,1000,"[0.6224838587162932, 0.632903981264637, 0.6529562982005142]"
50,10,1,,,"[0.6255222180022788, 0.6311475409836066, 0.6143958868894601]"
50,10,10,sqrt,100,"[0.6399544246107102, 0.6569086651053864, 0.6658097686375322]"
50,10,10,sqrt,1000,"[0.6494492973794151, 0.6475409836065574, 0.6606683804627249]"
50,10,10,sqrt,,"[0.6353968856817319, 0.6569086651053864, 0.6709511568123393]"
50,10,10,,100,"[0.6502088872009115, 0.6557377049180327, 0.6812339331619537]"
50,10,10,,1000,"[0.6445119635396885, 0.6651053864168618, 0.6658097686375322]"
50,10,10,,,"[0.643372578807444, 0.6627634660421545, 0.6683804627249358]"
50,10,100,sqrt,100,"[0.6441321686289404, 0.6610070257611241, 0.6658097686375322]"
50,10,100,sqrt,1000,"[0.6361564755032283, 0.6574941451990632, 0.6812339331619537]"
50,10,100,sqrt,,"[0.6342575009494873, 0.6528103044496487, 0.6709511568123393]"
50,10,100,,100,"[0.6426129889859475, 0.6586651053864169, 0.6889460154241646]"
50,10,100,,1000,"[0.6494492973794151, 0.6574941451990632, 0.6889460154241646]"
50,10,100,,,"[0.6407140144322067, 0.6604215456674473, 0.6760925449871465]"
50,100,1,sqrt,100,"[0.6384352449677174, 0.6475409836065574, 0.6683804627249358]"
50,100,1,sqrt,1000,"[0.641473604253703, 0.6522248243559718, 0.6478149100257069]"
50,100,1,sqrt,,"[0.6399544246107102, 0.6662763466042154, 0.6683804627249358]"
50,100,1,,100,"[0.6410938093429548, 0.6709601873536299, 0.6683804627249358]"
50,100,1,,1000,"[0.643372578807444, 0.6510538641686182, 0.6812339331619537]"
50,100,1,,,"[0.6528674515761489, 0.6633489461358314, 0.6478149100257069]"
50,100,10,sqrt,100,"[0.6422331940751994, 0.65807962529274, 0.6478149100257069]"
50,100,10,sqrt,1000,"[0.6536270413976453, 0.6604215456674473, 0.6838046272493573]"
50,100,10,sqrt,,"[0.633877706038739, 0.6563231850117096, 0.6632390745501285]"
50,100,10,,100,"[0.6464109380934295, 0.655152224824356, 0.6838046272493573]"
50,100,10,,1000,"[0.6418533991644512, 0.6662763466042154, 0.6786632390745502]"
50,100,10,,,"[0.6426129889859475, 0.6545667447306791, 0.6760925449871465]"
50,100,100,sqrt,100,"[0.6422331940751994, 0.6516393442622951, 0.6760925449871465]"
50,100,100,sqrt,1000,"[0.6410938093429548, 0.6592505854800936, 0.6709511568123393]"
50,100,100,sqrt,,"[0.6391948347892138, 0.6627634660421545, 0.6683804627249358]"
50,100,100,,100,"[0.6426129889859475, 0.6563231850117096, 0.6786632390745502]"
50,100,100,,1000,"[0.6467907330041778, 0.6639344262295082, 0.6812339331619537]"
50,100,100,,,"[0.6467907330041778, 0.6627634660421545, 0.6709511568123393]"
100,2,1,sqrt,100,"[0.6410938093429548, 0.6586651053864169, 0.6606683804627249]"
100,2,1,sqrt,1000,"[0.6372958602354728, 0.6563231850117096, 0.6606683804627249]"
100,2,1,sqrt,,"[0.6259020129130269, 0.6469555035128806, 0.6298200514138818]"
100,2,1,,100,"[0.643372578807444, 0.6656908665105387, 0.6735218508997429]"
100,2,1,,1000,"[0.6365362704139764, 0.6563231850117096, 0.6555269922879178]"
100,2,1,,,"[0.6266616027345233, 0.6539812646370023, 0.6658097686375322]"
100,2,10,sqrt,100,"[0.6437523737181922, 0.6539812646370023, 0.6658097686375322]"
100,2,10,sqrt,1000,"[0.63577668059248, 0.65807962529274, 0.6658097686375322]"
100,2,10,sqrt,,"[0.6437523737181922, 0.6610070257611241, 0.6580976863753213]"
100,2,10,,100,"[0.6475503228256742, 0.6592505854800936, 0.6786632390745502]"
100,2,10,,1000,"[0.6471705279149259, 0.6504683840749415, 0.6863753213367609]"
100,2,10,,,"[0.641473604253703, 0.6639344262295082, 0.6683804627249358]"
100,2,100,sqrt,100,"[0.6460311431826814, 0.6651053864168618, 0.6606683804627249]"
100,2,100,sqrt,1000,"[0.641473604253703, 0.6539812646370023, 0.6606683804627249]"
100,2,100,sqrt,,"[0.6437523737181922, 0.6563231850117096, 0.6683804627249358]"
