,,,,,0
50,2,1,sqrt,100,"[0.653247246486897, 0.6557377049180327, 0.6580976863753213]"
50,2,1,sqrt,1000,"[0.6380554500569693, 0.6457845433255269, 0.6632390745501285]"
50,2,1,sqrt,,"[0.6365362704139764, 0.6270491803278688, 0.6323907455012854]"
50,2,1,,100,"[0.6456513482719332, 0.6574941451990632, 0.6503856041131105]"
50,2,1,,1000,"[0.6247626281807824, 0.6241217798594848, 0.6478149100257069]"
50,2,1,,,"[0.6069122673756172, 0.6159250585480094, 0.622107969151671]"
50,2,10,sqrt,100,"[0.6437523737181922, 0.664519906323185, 0.6555269922879178]"
50,2,10,sqrt,1000,"[0.6494492973794151, 0.6598360655737705, 0.6606683804627249]"
50,2,10,sqrt,,"[0.6566654006836309, 0.6533957845433255, 0.6580976863753213]"
50,2,10,,100,"[0.6498290922901633, 0.65807962529274, 0.6632390745501285]"
50,2,10,,1000,"[0.6369160653247247, 0.6539812646370023, 0.6323907455012854]"
50,2,10,,,"[0.6429927838966958, 0.655152224824356, 0.6658097686375322]"
50,2,100,sqrt,100,"[0.6502088872009115, 0.6598360655737705, 0.6606683804627249]"
50,2,100,sqrt,1000,"[0.6524876566654007, 0.65807962529274, 0.6555269922879178]"
50,2,100,sqrt,,"[0.6543866312191416, 0.6680327868852459, 0.6658097686375322]"
50,2,100,,100,"[0.6505886821116597, 0.6598360655737705, 0.6632390745501285]"
50,2,100,,1000,"[0.6490695024686669, 0.6621779859484778, 0.6760925449871465]"
50,2,100,,,"[0.6475503228256742, 0.6633489461358314, 0.6760925449871465]"
50,10,1,sqrt,100,"[0.6502088872009115, 0.6598360655737705, 0.6658097686375322]"
50,10,1,sqrt,1000,"[0.6266616027345233, 0.6598360655737705, 0.6580976863753213]"
50,10,1,sqrt,,"[0.6315989365742499, 0.6258782201405152, 0.6478149100257069]"
50,10,1,,100,"[0.6448917584504368, 0.6528103044496487, 0.6658097686375322]"
50,10,1,,1000,"[0.6190657045195594, 0.6334894613583139, 0.6246786632390745]"
50,10,1,,,"[0.6183061146980631, 0.6129976580796253, 0.6066838046272494]"
50,10,10,sqrt,100,"[0.6502088872009115, 0.65807962529274, 0.6503856041131105]"
50,10,10,sqrt,1000,"[0.6399544246107102, 0.6610070257611241, 0.6786632390745502]"
50,10,10,sqrt,,"[0.6483099126471705, 0.6639344262295082, 0.6375321336760925]"
50,10,10,,100,"[0.6471705279149259, 0.6680327868852459, 0.6529562982005142]"
50,10,10,,1000,"[0.637675655146221, 0.6528103044496487, 0.6658097686375322]"
50,10,10,,,"[0.637675655146221, 0.6510538641686182, 0.6401028277634961]"
50,10,100,sqrt,100,"[0.6479301177364223, 0.6604215456674473, 0.6606683804627249]"
50,10,100,sqrt,1000,"[0.6513482719331561, 0.6569086651053864, 0.6529562982005142]"
50,10,100,sqrt,,"[0.6543866312191416, 0.6639344262295082, 0.6658097686375322]"
50,10,100,,100,"[0.6494492973794151, 0.65807962529274, 0.6683804627249358]"
50,10,100,,1000,"[0.6471705279149259, 0.6604215456674473, 0.6606683804627249]"
50,10,100,,,"[0.6467907330041778, 0.6627634660421545, 0.6709511568123393]"
50,100,1,sqrt,100,"[0.6498290922901633, 0.6586651053864169, 0.6503856041131105]"
50,100,1,sqrt,1000,"[0.6410938093429548, 0.6586651053864169, 0.6452442159383034]"
50,100,1,sqrt,,"[0.6509684770224079, 0.6533957845433255, 0.6555269922879178]"
50,100,1,,100,"[0.6410938093429548, 0.6528103044496487, 0.6735218508997429]"
50,100,1,,1000,"[0.6372958602354728, 0.6522248243559718, 0.6503856041131105]"
50,100,1,,,"[0.6391948347892138, 0.6522248243559718, 0.6503856041131105]"
50,100,10,sqrt,100,"[0.6509684770224079, 0.6569086651053864, 0.6606683804627249]"
50,100,10,sqrt,1000,"[0.6479301177364223, 0.6569086651053864, 0.6632390745501285]"
50,100,10,sqrt,,"[0.6521078617546525, 0.6615925058548009, 0.6555269922879178]"
50,100,10,,100,"[0.6448917584504368, 0.6639344262295082, 0.6452442159383034]"
50,100,10,,1000,"[0.6426129889859475, 0.6615925058548009, 0.6812339331619537]"
50,100,10,,,"[0.6410938093429548, 0.6557377049180327, 0.6658097686375322]"
50,100,100,sqrt,100,"[0.6547664261298899, 0.65807962529274, 0.6529562982005142]"
50,100,100,sqrt,1000,"[0.6543866312191416, 0.6598360655737705, 0.6529562982005142]"
50,100,100,sqrt,,"[0.6574249905051273, 0.6528103044496487, 0.6580976863753213]"
50,100,100,,100,"[0.6490695024686669, 0.6621779859484778, 0.6503856041131105]"
50,100,100,,1000,"[0.6479301177364223, 0.6686182669789227, 0.6529562982005142]"
50,100,100,,,"[0.6509684770224079, 0.6651053864168618, 0.6606683804627249]"
100,2,1,sqrt,100,"[0.655146221040638, 0.6563231850117096, 0.6349614395886889]"
100,2,1,sqrt,1000,"[0.6475503228256742, 0.6516393442622951, 0.6606683804627249]"
100,2,1,sqrt,,"[0.6315989365742499, 0.6451990632318502, 0.6478149100257069]"
