,,,,,0
50,2,1,sqrt,100,"[0.6585643752373718, 0.6656908665105387, 0.6606683804627249]"
50,2,1,sqrt,1000,"[0.63577668059248, 0.6475409836065574, 0.6246786632390745]"
50,2,1,sqrt,,"[0.6190657045195594, 0.6293911007025761, 0.6246786632390745]"
50,2,1,,100,"[0.6498290922901633, 0.6592505854800936, 0.6503856041131105]"
50,2,1,,1000,"[0.6072920622863653, 0.6083138173302107, 0.6401028277634961]"
50,2,1,,,"[0.5902012913026965, 0.5685011709601874, 0.622107969151671]"
50,2,10,sqrt,100,"[0.6521078617546525, 0.6569086651053864, 0.6658097686375322]"
50,2,10,sqrt,1000,"[0.6502088872009115, 0.6692037470725996, 0.6812339331619537]"
50,2,10,sqrt,,"[0.6426129889859475, 0.6569086651053864, 0.6452442159383034]"
50,2,10,,100,"[0.6452715533611849, 0.6610070257611241, 0.6606683804627249]"
50,2,10,,1000,"[0.6418533991644512, 0.6481264637002342, 0.6606683804627249]"
50,2,10,,,"[0.6315989365742499, 0.6522248243559718, 0.6478149100257069]"
50,2,100,sqrt,100,"[0.6559058108621344, 0.6557377049180327, 0.6529562982005142]"
50,2,100,sqrt,1000,"[0.6483099126471705, 0.6574941451990632, 0.6683804627249358]"
50,2,100,sqrt,,"[0.653247246486897, 0.6586651053864169, 0.6683804627249358]"
50,2,100,,100,"[0.6494492973794151, 0.6668618266978923, 0.6760925449871465]"
50,2,100,,1000,"[0.6521078617546525, 0.6633489461358314, 0.6632390745501285]"
50,2,100,,,"[0.6441321686289404, 0.6615925058548009, 0.6503856041131105]"
50,10,1,sqrt,100,"[0.6528674515761489, 0.6615925058548009, 0.6529562982005142]"
50,10,1,sqrt,1000,"[0.6331181162172427, 0.6381733021077284, 0.6452442159383034]"
50,10,1,sqrt,,"[0.63577668059248, 0.6165105386416861, 0.6272493573264781]"
50,10,1,,100,"[0.6399544246107102, 0.6610070257611241, 0.6735218508997429]"
50,10,1,,1000,"[0.5829851879984809, 0.5889929742388759, 0.6015424164524421]"
50,10,1,,,"[0.5715913406760349, 0.594847775175644, 0.6555269922879178]"
50,10,10,sqrt,100,"[0.6521078617546525, 0.6604215456674473, 0.6658097686375322]"
50,10,10,sqrt,1000,"[0.6483099126471705, 0.6627634660421545, 0.6529562982005142]"
50,10,10,sqrt,,"[0.6540068363083935, 0.6411007025761124, 0.6683804627249358]"
50,10,10,,100,"[0.6505886821116597, 0.6569086651053864, 0.6658097686375322]"
50,10,10,,1000,"[0.6369160653247247, 0.6469555035128806, 0.6349614395886889]"
50,10,10,,,"[0.63577668059248, 0.6528103044496487, 0.6503856041131105]"
50,10,100,sqrt,100,"[0.6547664261298899, 0.6610070257611241, 0.6580976863753213]"
50,10,100,sqrt,1000,"[0.6452715533611849, 0.6574941451990632, 0.6683804627249358]"
50,10,100,sqrt,,"[0.6517280668439043, 0.6633489461358314, 0.6709511568123393]"
50,10,100,,100,"[0.6543866312191416, 0.6592505854800936, 0.6760925449871465]"
50,10,100,,1000,"[0.6521078617546525, 0.6639344262295082, 0.6606683804627249]"
50,10,100,,,"[0.6494492973794151, 0.6651053864168618, 0.6709511568123393]"
50,100,1,sqrt,100,"[0.6509684770224079, 0.6510538641686182, 0.6683804627249358]"
50,100,1,sqrt,1000,"[0.6471705279149259, 0.6610070257611241, 0.6452442159383034]"
50,100,1,sqrt,,"[0.6479301177364223, 0.6487119437939111, 0.6452442159383034]"
50,100,1,,100,"[0.6509684770224079, 0.6522248243559718, 0.6503856041131105]"
50,100,1,,1000,"[0.6308393467527535, 0.6370023419203747, 0.6529562982005142]"
50,100,1,,,"[0.6262818078237752, 0.6317330210772834, 0.6195372750642674]"
50,100,10,sqrt,100,"[0.6547664261298899, 0.6592505854800936, 0.6632390745501285]"
50,100,10,sqrt,1000,"[0.6524876566654007, 0.65807962529274, 0.6529562982005142]"
50,100,10,sqrt,,"[0.6536270413976453, 0.655152224824356, 0.6606683804627249]"
50,100,10,,100,"[0.6479301177364223, 0.6598360655737705, 0.6529562982005142]"
50,100,10,,1000,"[0.6426129889859475, 0.6492974238875878, 0.6478149100257069]"
50,100,10,,,"[0.6490695024686669, 0.6522248243559718, 0.6452442159383034]"
50,100,100,sqrt,100,"[0.6528674515761489, 0.6574941451990632, 0.6658097686375322]"
50,100,100,sqrt,1000,"[0.6521078617546525, 0.6668618266978923, 0.6658097686375322]"
50,100,100,sqrt,,"[0.6528674515761489, 0.6615925058548009, 0.6760925449871465]"
50,100,100,,100,"[0.6521078617546525, 0.6651053864168618, 0.6632390745501285]"
50,100,100,,1000,"[0.6471705279149259, 0.6610070257611241, 0.6709511568123393]"
50,100,100,,,"[0.6521078617546525, 0.6615925058548009, 0.6735218508997429]"
100,2,1,sqrt,100,"[0.6574249905051273, 0.6639344262295082, 0.6658097686375322]"
100,2,1,sqrt,1000,"[0.6441321686289404, 0.6492974238875878, 0.6555269922879178]"
100,2,1,sqrt,,"[0.6285605772882643, 0.6264637002341921, 0.6349614395886889]"
100,2,1,,100,"[0.6524876566654007, 0.6592505854800936, 0.6580976863753213]"
100,2,1,,1000,"[0.5921002658564375, 0.620023419203747, 0.6272493573264781]"
100,2,1,,,"[0.5636156475503228, 0.59192037470726, 0.6143958868894601]"
100,2,10,sqrt,100,"[0.6486897075579188, 0.6592505854800936, 0.6632390745501285]"
100,2,10,sqrt,1000,"[0.6399544246107102, 0.6557377049180327, 0.6529562982005142]"
100,2,10,sqrt,,"[0.6448917584504368, 0.6522248243559718, 0.6606683804627249]"
100,2,10,,100,"[0.6498290922901633, 0.6574941451990632, 0.6786632390745502]"
100,2,10,,1000,"[0.641473604253703, 0.6457845433255269, 0.6632390745501285]"
100,2,10,,,"[0.6319787314849981, 0.6416861826697893, 0.6426735218508998]"
100,2,100,sqrt,100,"[0.6524876566654007, 0.667447306791569, 0.6606683804627249]"
100,2,100,sqrt,1000,"[0.6528674515761489, 0.6604215456674473, 0.6683804627249358]"
100,2,100,sqrt,,"[0.6547664261298899, 0.6592505854800936, 0.6658097686375322]"
100,2,100,,100,"[0.6502088872009115, 0.6662763466042154, 0.6683804627249358]"
100,2,100,,1000,"[0.6486897075579188, 0.6604215456674473, 0.6683804627249358]"
100,2,100,,,"[0.6483099126471705, 0.6639344262295082, 0.6760925449871465]"
100,10,1,sqrt,100,"[0.6509684770224079, 0.65807962529274, 0.6632390745501285]"
100,10,1,sqrt,1000,"[0.6331181162172427, 0.632903981264637, 0.6606683804627249]"
100,10,1,sqrt,,"[0.6346372958602354, 0.6405152224824356, 0.6529562982005142]"
100,10,1,,100,"[0.6429927838966958, 0.6627634660421545, 0.6658097686375322]"
100,10,1,,1000,"[0.5902012913026965, 0.6059718969555035, 0.6426735218508998]"
100,10,1,,,"[0.5837447778199772, 0.5837236533957846, 0.6195372750642674]"
100,10,10,sqrt,100,"[0.6502088872009115, 0.6627634660421545, 0.6529562982005142]"
100,10,10,sqrt,1000,"[0.6505886821116597, 0.664519906323185, 0.6580976863753213]"
100,10,10,sqrt,,"[0.6429927838966958, 0.6545667447306791, 0.6683804627249358]"
100,10,10,,100,"[0.6452715533611849, 0.6574941451990632, 0.6786632390745502]"
100,10,10,,1000,"[0.6490695024686669, 0.6446135831381733, 0.6555269922879178]"
100,10,10,,,"[0.6384352449677174, 0.6533957845433255, 0.6658097686375322]"
100,10,100,sqrt,100,"[0.6521078617546525, 0.6610070257611241, 0.6658097686375322]"
100,10,100,sqrt,1000,"[0.6517280668439043, 0.6586651053864169, 0.6632390745501285]"
100,10,100,sqrt,,"[0.6574249905051273, 0.6598360655737705, 0.6683804627249358]"
100,10,100,,100,"[0.6475503228256742, 0.6610070257611241, 0.6658097686375322]"
100,10,100,,1000,"[0.6479301177364223, 0.6598360655737705, 0.6658097686375322]"
100,10,100,,,"[0.6505886821116597, 0.6627634660421545, 0.6632390745501285]"
100,100,1,sqrt,100,"[0.6460311431826814, 0.6627634660421545, 0.6606683804627249]"
100,100,1,sqrt,1000,"[0.6490695024686669, 0.6598360655737705, 0.6632390745501285]"
100,100,1,sqrt,,"[0.6505886821116597, 0.6592505854800936, 0.6580976863753213]"
100,100,1,,100,"[0.641473604253703, 0.6610070257611241, 0.6632390745501285]"
100,100,1,,1000,"[0.6255222180022788, 0.655152224824356, 0.6375321336760925]"
100,100,1,,,"[0.6361564755032283, 0.6463700234192038, 0.6401028277634961]"
100,100,10,sqrt,100,"[0.6521078617546525, 0.6651053864168618, 0.6658097686375322]"
100,100,10,sqrt,1000,"[0.6528674515761489, 0.6586651053864169, 0.6735218508997429]"
100,100,10,sqrt,,"[0.6524876566654007, 0.6574941451990632, 0.6632390745501285]"
100,100,10,,100,"[0.6490695024686669, 0.65807962529274, 0.6452442159383034]"
100,100,10,,1000,"[0.6429927838966958, 0.6522248243559718, 0.6580976863753213]"
100,100,10,,,"[0.6498290922901633, 0.6639344262295082, 0.6555269922879178]"
100,100,100,sqrt,100,"[0.6505886821116597, 0.6586651053864169, 0.6683804627249358]"
100,100,100,sqrt,1000,"[0.653247246486897, 0.6598360655737705, 0.6709511568123393]"
100,100,100,sqrt,,"[0.6536270413976453, 0.6627634660421545, 0.6658097686375322]"
100,100,100,,100,"[0.6521078617546525, 0.6633489461358314, 0.6683804627249358]"
100,100,100,,1000,"[0.6513482719331561, 0.6639344262295082, 0.6735218508997429]"
100,100,100,,,"[0.6524876566654007, 0.6651053864168618, 0.6683804627249358]"
400,2,1,sqrt,100,"[0.6494492973794151, 0.6610070257611241, 0.6683804627249358]"
400,2,1,sqrt,1000,"[0.6448917584504368, 0.6569086651053864, 0.6606683804627249]"
400,2,1,sqrt,,"[0.6505886821116597, 0.6416861826697893, 0.6478149100257069]"
400,2,1,,100,"[0.6467907330041778, 0.664519906323185, 0.6683804627249358]"
400,2,1,,1000,"[0.6080516521078617, 0.6176814988290398, 0.6529562982005142]"
400,2,1,,,"[0.589061906570452, 0.6165105386416861, 0.622107969151671]"
400,2,10,sqrt,100,"[0.6547664261298899, 0.6656908665105387, 0.6658097686375322]"
400,2,10,sqrt,1000,"[0.6502088872009115, 0.6586651053864169, 0.6632390745501285]"
400,2,10,sqrt,,"[0.6490695024686669, 0.6656908665105387, 0.6658097686375322]"
400,2,10,,100,"[0.6505886821116597, 0.6604215456674473, 0.6658097686375322]"
400,2,10,,1000,"[0.6452715533611849, 0.6457845433255269, 0.6580976863753213]"
400,2,10,,,"[0.6471705279149259, 0.6492974238875878, 0.6478149100257069]"
400,2,100,sqrt,100,"[0.6498290922901633, 0.6574941451990632, 0.6658097686375322]"
400,2,100,sqrt,1000,"[0.6540068363083935, 0.6574941451990632, 0.6658097686375322]"
400,2,100,sqrt,,"[0.6524876566654007, 0.655152224824356, 0.6658097686375322]"
