,,,,,,,0
0.01,0,3,0,0.5,100,0.7,0.6465478714156522
0.01,0,3,0,0.5,100,1.0,0.6528264443277639
0.01,0,3,0,0.5,200,0.7,0.6517810091832079
0.01,0,3,0,0.5,200,1.0,0.6509760945640722
0.01,0,3,0,0.5,400,0.7,0.6532405086368416
0.01,0,3,0,0.5,400,1.0,0.6546237138869165
0.01,0,3,0,1.0,100,0.7,0.648955439178664
0.01,0,3,0,1.0,100,1.0,0.654392048765866
0.01,0,3,0,1.0,200,0.7,0.6460558335930412
0.01,0,3,0,1.0,200,1.0,0.644615148148547
0.01,0,3,0,1.0,400,0.7,0.6464726772095635
0.01,0,3,0,1.0,400,1.0,0.6459331145943732
0.01,0,3,5,0.5,100,0.7,0.6505752856492446
0.01,0,3,5,0.5,100,1.0,0.6533649069454843
0.01,0,3,5,0.5,200,0.7,0.6513691448690704
0.01,0,3,5,0.5,200,1.0,0.6502297601368258
0.01,0,3,5,0.5,400,0.7,0.6489891878920282
0.01,0,3,5,0.5,400,1.0,0.6502938989436045
0.01,0,3,5,1.0,100,0.7,0.6489714738803588
0.01,0,3,5,1.0,100,1.0,0.6543135545673674
0.01,0,3,5,1.0,200,0.7,0.6455173709753208
0.01,0,3,5,1.0,200,1.0,0.6431556486949135
0.01,0,3,5,1.0,400,0.7,0.6456478485838184
0.01,0,3,5,1.0,400,1.0,0.645998353398622
0.01,0,3,20,0.5,100,0.7,0.6517014149872393
0.01,0,3,20,0.5,100,1.0,0.6539194042648993
0.01,0,3,20,0.5,200,0.7,0.6485585095687512
0.01,0,3,20,0.5,200,1.0,0.651719649683874
0.01,0,3,20,0.5,400,0.7,0.6520651751962928
0.01,0,3,20,0.5,400,1.0,0.6501794560368017
0.01,0,3,20,1.0,100,0.7,0.6493512687911069
0.01,0,3,20,1.0,100,1.0,0.6535683201375909
0.01,0,3,20,1.0,200,0.7,0.6466274656116209
0.01,0,3,20,1.0,200,1.0,0.6460890029939005
0.01,0,3,20,1.0,400,0.7,0.6499776635271303
0.01,0,3,20,1.0,400,1.0,0.6482014079720573
0.01,0,6,0,0.5,100,0.7,0.6470266538440133
0.01,0,6,0,0.5,100,1.0,0.6570285609700232
0.01,0,6,0,0.5,200,0.7,0.6550195434993594
0.01,0,6,0,0.5,200,1.0,0.6572718021753488
