,,,,,0
50,2,1,sqrt,100,0.657370478763203
50,2,1,sqrt,1000,0.640499883671522
50,2,1,sqrt,,0.6299838737862495
50,2,1,,100,0.6566689255176464
50,2,1,,1000,0.6335812520450811
50,2,1,,,0.6098388822398796
50,2,10,sqrt,100,0.6565179043195946
50,2,10,sqrt,1000,0.6531295838347547
50,2,10,sqrt,,0.6495150714795296
50,2,10,,100,0.6483230609887699
50,2,10,,1000,0.6602077235845888
50,2,10,,,0.6487323931282655
50,2,100,sqrt,100,0.6530461733698827
50,2,100,sqrt,1000,0.6598859652497805
50,2,100,sqrt,,0.6587144614464776
50,2,100,,100,0.6570890792919916
50,2,100,,1000,0.6643584628660388
50,2,100,,,0.6576404020882484
50,10,1,sqrt,100,0.6573748023487291
50,10,1,sqrt,1000,0.647115769040199
50,10,1,sqrt,,0.644786548280992
50,10,1,,100,0.6590976289482888
50,10,1,,1000,0.6312010110331386
50,10,1,,,0.6407332281025473
50,10,10,sqrt,100,0.656426254062184
50,10,10,sqrt,1000,0.6468089956800553
50,10,10,sqrt,,0.6545830307252184
50,10,10,,100,0.6549397371061989
50,10,10,,1000,0.6417389982080047
50,10,10,,,0.6572709960917675
50,10,100,sqrt,100,0.6538345096713744
50,10,100,sqrt,1000,0.6563266604953814
50,10,100,sqrt,,0.6496180376373952
50,10,100,,100,0.6597963532187316
50,10,100,,1000,0.6586967837341346
50,10,100,,,0.6618904878036982
50,100,1,sqrt,100,0.6581323539438638
50,100,1,sqrt,1000,0.6477958646038356
50,100,1,sqrt,,0.6522621606539172
50,100,1,,100,0.6591192228676441
50,100,1,,1000,0.6539457156217786
50,100,1,,,0.6459085024336964
50,100,10,sqrt,100,0.6602993738419994
50,100,10,sqrt,1000,0.6505090929639499
50,100,10,sqrt,,0.6519298771674058
50,100,10,,100,0.662069711865796
50,100,10,,1000,0.6575204127293561
50,100,10,,,0.6520123366378148
50,100,100,sqrt,100,0.6549494715091498
50,100,100,sqrt,1000,0.6580350457362257
50,100,100,sqrt,,0.6557477893463952
50,100,100,,100,0.6566617729570066
50,100,100,,1000,0.6594011659548049
50,100,100,,,0.6614549416761746
100,2,1,sqrt,100,0.6612310351649537
100,2,1,sqrt,1000,0.6462101614595618
100,2,1,sqrt,,0.6389564173714958
100,2,1,,100,0.6576629470020667
100,2,1,,1000,0.6396161171430429
100,2,1,,,0.6305488471924696
100,2,10,sqrt,100,0.6590726624378703
100,2,10,sqrt,1000,0.6543005440221084
100,2,10,sqrt,,0.6547733235549685
100,2,10,,100,0.6650517763190568
100,2,10,,1000,0.6585624892539627
100,2,10,,,0.6544780263409911
100,2,100,sqrt,100,0.6546012520535107
100,2,100,sqrt,1000,0.6516535920304726
100,2,100,sqrt,,0.6553238556024732
100,2,100,,100,0.6559021831355102
100,2,100,,1000,0.6586100006781995
100,2,100,,,0.6618242114352197
100,10,1,sqrt,100,0.6579166872251815
100,10,1,sqrt,1000,0.6502288916200042
100,10,1,sqrt,,0.6425806641296719
100,10,1,,100,0.6572595199456015
100,10,1,,1000,0.6362036702468805
100,10,1,,,0.6313251637318459
100,10,10,sqrt,100,0.6582196806157483
100,10,10,sqrt,1000,0.6550231475710709
100,10,10,sqrt,,0.6564162725264303
100,10,10,,100,0.6571550591773234
100,10,10,,1000,0.6439884775765493
100,10,10,,,0.6575833165067715
100,10,100,sqrt,100,0.6582555796563835
100,10,100,sqrt,1000,0.657670643178656
100,10,100,sqrt,,0.6524529970996167
100,10,100,,100,0.6602159633771274
100,10,100,,1000,0.660555943040228
100,10,100,,,0.6617158344599293
100,100,1,sqrt,100,0.6493984547117005
100,100,1,sqrt,1000,0.6515185068015487
100,100,1,sqrt,,0.6600754673307786
100,100,1,,100,0.6548208349792054
