,,,,,0
100,100,10,sqrt,1000,0.663900124691894
100,100,100,,1000,0.662955899990875
400,10,100,,1000,0.662027611258984
400,2,100,,1000,0.661893316778812
50,2,100,sqrt,1000,0.661635005837368
100,100,100,sqrt,,0.661463725084662
100,10,100,,100,0.66139461974107
50,2,100,,,0.661371531211303
100,2,100,,100,0.661328886988541
100,2,100,sqrt,1000,0.660802530702703
100,10,100,,,0.660753932046567
50,10,10,sqrt,1000,0.660738292560586
50,2,1,sqrt,100,0.660701306288052
50,2,100,,100,0.660675388783171
100,2,10,sqrt,100,0.660585233136173
400,10,1,,100,0.6605400070711
50,100,100,sqrt,1000,0.660487924928535
400,2,1,,100,0.660479685135996
100,2,100,,1000,0.660421648560056
400,10,100,sqrt,,0.660234728321369
50,2,100,sqrt,,0.660190045872246
50,100,100,,,0.660102719200362
400,10,100,,100,0.66005292241696
50,2,100,,1000,0.660034701088668
100,2,100,sqrt,,0.660003125633559
400,2,100,,100,0.659984360689317
400,100,100,,,0.659926324113378
50,100,1,,100,0.659904186578073
100,10,10,sqrt,,0.65985547702657
400,100,100,,100,0.659820776113201
100,10,100,sqrt,1000,0.659815661778923
400,10,100,sqrt,1000,0.65979744045063
50,10,100,,1000,0.659680823682801
400,2,10,sqrt,,0.659578648273688
50,10,100,,100,0.659506713954982
50,10,1,sqrt,100,0.659493903444114
400,10,10,sqrt,,0.659445848403928
400,2,100,,,0.659419930899047
50,100,100,,100,0.659369590499696
400,2,100,sqrt,,0.659327489892884
400,2,10,sqrt,1000,0.659320337332244
50,10,1,,100,0.659285092802925
400,10,100,,,0.659275111267172
50,2,100,sqrt,100,0.659251775604601
100,100,100,sqrt,100,0.659146227604424
400,100,100,,1000,0.659040135988298
100,100,100,,,0.658895316356423
50,10,100,sqrt,1000,0.65886145554215
400,2,1,sqrt,100,0.658853215749611
100,2,100,,,0.658794635557722
50,100,100,,1000,0.658618240470738
50,2,10,,100,0.65858612139968
100,2,10,sqrt,,0.658339126358691
100,100,1,sqrt,100,0.658278804423587
400,100,10,sqrt,,0.658220767847647
100,100,100,sqrt,1000,0.658189192392538
100,10,100,sqrt,,0.658170427448296
50,10,100,,,0.658104151079818
100,10,100,,1000,0.65806487944812
400,100,100,sqrt,100,0.658004557513015
400,100,100,sqrt,,0.658004013897066
50,2,10,sqrt,100,0.657935452169423
50,100,10,sqrt,100,0.657933413943061
400,100,100,sqrt,1000,0.657927755992834
50,10,100,sqrt,100,0.657782936360959
50,100,10,,100,0.657602081451013
100,100,10,,100,0.657597757865487
400,10,100,sqrt,100,0.657487095531032
50,10,100,sqrt,,0.657416495577028
100,100,1,,100,0.657370478763203
100,2,1,sqrt,1000,0.657312442187263
400,10,10,sqrt,1000,0.657302460651509
400,2,100,sqrt,100,0.657186931115579
100,100,100,,100,0.656933190892464
100,2,10,,100,0.656882850493114
100,2,10,sqrt,1000,0.656835339068877
100,100,10,,1000,0.656748556012942
50,100,10,sqrt,1000,0.656693892028065
50,100,100,sqrt,,0.656691063052951
400,100,10,sqrt,1000,0.656651247805304
400,100,1,,100,0.656534631037474
400,100,10,,,0.656531258446411
400,100,1,sqrt,1000,0.656495903021725
400,10,10,sqrt,100,0.656463783950667
400,2,100,sqrt,1000,0.656406290990677
400,100,10,,100,0.656340014622198
100,10,100,sqrt,100,0.65624270641456
400,2,10,,100,0.656112735519914
100,10,1,,100,0.656015427312276
400,100,1,sqrt,100,0.656008274751636
400,100,10,,1000,0.655862911503812
400,10,1,sqrt,100,0.655783824624466
50,100,100,sqrt,100,0.655773843088712
50,2,1,,100,0.655746838351932
50,100,10,sqrt,,0.655729160639589
100,10,10,,100,0.655540609553054
100,10,10,sqrt,1000,0.655462066289658
400,2,10,sqrt,100,0.655404029713718
100,100,1,sqrt,1000,0.655335467986075
100,10,1,sqrt,100,0.655309550481193
400,100,10,sqrt,100,0.655122086626557
50,100,1,sqrt,,0.655029349137248
400,100,1,,1000,0.654852410434314
50,10,10,,100,0.654815177028978
400,100,1,sqrt,,0.654731766564106
100,10,10,sqrt,100,0.654687627730932
50,10,10,sqrt,100,0.654684255139869
100,2,100,sqrt,100,0.654684255139869
400,10,10,,100,0.65439352864422
50,100,10,,1000,0.654008619399194
400,2,10,,1000,0.653506549770389
400,2,1,sqrt,1000,0.653484004856571
100,2,1,sqrt,100,0.653407746952339
50,100,1,sqrt,100,0.653209757945999
50,10,10,sqrt,,0.652938340010542
100,100,10,,,0.652917289707136
50,2,10,sqrt,,0.652716175242536
50,100,1,sqrt,1000,0.652128953405644
100,100,10,sqrt,100,0.651810567661899
50,100,1,,,0.651767379823188
100,100,10,sqrt,,0.651485436736027
100,100,1,sqrt,,0.651393786478617
100,2,1,,100,0.650839881840049
50,100,10,,,0.650728132273695
50,2,10,sqrt,1000,0.650414613731426
400,10,1,sqrt,,0.650346052003783
100,100,1,,,0.650266965124437
100,10,10,,1000,0.649325569398532
100,100,1,,1000,0.649304519095125
50,2,1,sqrt,1000,0.649121378826015
400,10,10,,1000,0.649108815447951
400,100,1,,,0.649046455286485
50,10,10,,,0.648790429704205
400,10,1,sqrt,1000,0.64728718603034
50,2,10,,,0.646578480224144
400,2,1,sqrt,,0.645699444659705
400,2,10,,,0.645511980805068
400,10,10,,,0.645179697318557
100,2,10,,1000,0.644527940856402
100,10,1,sqrt,1000,0.644404715143882
100,2,1,,1000,0.644097261930354
50,2,10,,1000,0.642260783775514
50,100,1,,1000,0.641291185185563
100,2,10,,,0.640688978374006
50,10,1,sqrt,1000,0.640387726726655
50,10,1,sqrt,,0.640330233766664
400,10,1,,1000,0.638273629070181
100,10,1,sqrt,,0.637960110527911
100,10,10,,,0.637897206750496
50,10,10,,1000,0.636305685410283
100,2,1,sqrt,,0.635157270136748
400,2,1,,,0.632678880818071
50,2,1,,1000,0.628620879025931
400,2,1,,1000,0.628009617664808
100,10,1,,1000,0.624513327583191
400,10,1,,,0.624328692703669
50,2,1,sqrt,,0.618998889679762
50,10,1,,,0.617667988648433
100,10,1,,,0.617449629192073
50,10,1,,1000,0.616831733544191
100,2,1,,,0.614529628417131
50,2,1,,,0.609984652866218
