,,,,,,,0
0.01,0,3,0,0.5,100,0.7,0.6512878713631269
0.01,0,3,0,0.5,100,1.0,0.6565354231499422
0.01,0,3,0,0.5,200,0.7,0.6541455107710601
0.01,0,3,0,0.5,200,1.0,0.6546076791852218
0.01,0,3,0,0.5,400,0.7,0.6511839663735984
0.01,0,3,0,0.5,400,1.0,0.6493728621076912
0.01,0,3,0,1.0,100,0.7,0.6499887189264402
0.01,0,3,0,1.0,100,1.0,0.6564315181604137
0.01,0,3,0,1.0,200,0.7,0.6545745097843624
0.01,0,3,0,1.0,200,1.0,0.6593792278511207
0.01,0,3,0,1.0,400,0.7,0.649055526693747
0.01,0,3,0,1.0,400,1.0,0.6514824877784032
0.01,0,3,5,0.5,100,0.7,0.6519208628810406
0.01,0,3,5,0.5,100,1.0,0.6564099248438294
0.01,0,3,5,0.5,200,0.7,0.656035109235466
0.01,0,3,5,0.5,200,1.0,0.6556713490264124
0.01,0,3,5,0.5,400,0.7,0.651485267085848
0.01,0,3,5,0.5,400,1.0,0.6509760945640722
0.01,0,3,5,1.0,100,0.7,0.6509230111566034
0.01,0,3,5,1.0,100,1.0,0.6564315181604137
0.01,0,3,5,1.0,200,0.7,0.6538602447605053
0.01,0,3,5,1.0,200,1.0,0.6579849672017358
0.01,0,3,5,1.0,400,0.7,0.6482306980680018
0.01,0,3,5,1.0,400,1.0,0.6527512501216753
0.01,0,3,20,0.5,100,0.7,0.6524792395053703
0.01,0,3,20,0.5,100,1.0,0.6554264285111121
0.01,0,3,20,0.5,200,0.7,0.6561296381356594
0.01,0,3,20,0.5,200,1.0,0.6544960155858638
0.01,0,3,20,0.5,400,0.7,0.6557808126308305
0.01,0,3,20,0.5,400,1.0,0.6530846202373142
0.01,0,3,20,1.0,100,0.7,0.6512386672605728
0.01,0,3,20,1.0,100,1.0,0.6584410563160427
0.01,0,3,20,1.0,200,0.7,0.658144734906178
0.01,0,3,20,1.0,200,1.0,0.6573973004814614
0.01,0,3,20,1.0,400,0.7,0.6501805560342717
0.01,0,3,20,1.0,400,1.0,0.6499245801196615
0.01,0,6,0,0.5,100,0.7,0.6484888739775521
0.01,0,6,0,0.5,100,1.0,0.653767915855252
0.01,0,6,0,0.5,200,0.7,0.656590706552351
0.01,0,6,0,0.5,200,1.0,0.6546104584926665
0.01,0,6,0,0.5,400,0.7,0.6556121895220186
0.01,0,6,0,0.5,400,1.0,0.6573890243895963
0.01,0,6,0,1.0,100,0.7,0.6448860001398424
0.01,0,6,0,1.0,100,1.0,0.6514973638550883
0.01,0,6,0,1.0,200,0.7,0.6546098791801618
0.01,0,6,0,1.0,200,1.0,0.6531476004190834
0.01,0,6,0,1.0,400,0.7,0.6548132923722684
0.01,0,6,0,1.0,400,1.0,0.6488807656575407
0.01,0,6,5,0.5,100,0.7,0.6457556328782617
0.01,0,6,5,0.5,100,1.0,0.6571236105551818
0.01,0,6,5,0.5,200,0.7,0.6509246904665782
0.01,0,6,5,0.5,200,1.0,0.6557338085232165
0.01,0,6,5,0.5,400,0.7,0.6560058191395214
0.01,0,6,5,0.5,400,1.0,0.6581618696053426
0.01,0,6,5,1.0,100,0.7,0.6456975733713376
0.01,0,6,5,1.0,100,1.0,0.656590706552351
0.01,0,6,5,1.0,200,0.7,0.6546579832852458
0.01,0,6,5,1.0,200,1.0,0.6602062564718059
0.01,0,6,5,1.0,400,0.7,0.6544976362682989
0.01,0,6,5,1.0,400,1.0,0.6536578729383291
0.01,0,6,20,0.5,100,0.7,0.6524814395003103
0.01,0,6,20,0.5,100,1.0,0.6566670007559097
0.01,0,6,20,0.5,200,0.7,0.6545319642941679
0.01,0,6,20,0.5,200,1.0,0.6548597757949173
0.01,0,6,20,0.5,400,0.7,0.6517733124038476
0.01,0,6,20,0.5,400,1.0,0.6520579991018977
0.01,0,6,20,1.0,100,0.7,0.6487553259789675
0.01,0,6,20,1.0,100,1.0,0.6599547391746151
0.01,0,6,20,1.0,200,0.7,0.6498792553220222
0.01,0,6,20,1.0,200,1.0,0.6592653056292831
0.01,0,6,20,1.0,400,0.7,0.6532908127368656
0.01,0,6,20,1.0,400,1.0,0.6539182456398897
0.01,0,10,0,0.5,100,0.7,0.6387080354277788
0.01,0,10,0,0.5,100,1.0,0.6481742592435131
0.01,0,10,0,0.5,200,0.7,0.643632172500795
0.01,0,10,0,0.5,200,1.0,0.6485049086792468
0.01,0,10,0,0.5,400,0.7,0.6503579791228438
0.01,0,10,0,0.5,400,1.0,0.6515024017850127
0.01,0,10,0,1.0,100,0.7,0.6318793619832023
0.01,0,10,0,1.0,100,1.0,0.6234033517400844
0.01,0,10,0,1.0,200,0.7,0.6414943567316085
0.01,0,10,0,1.0,200,1.0,0.6331863316572581
0.01,0,10,0,1.0,400,0.7,0.6357664018339969
0.01,0,10,0,1.0,400,1.0,0.6280477227898957
0.01,0,10,5,0.5,100,0.7,0.6479979361524111
0.01,0,10,5,0.5,100,1.0,0.6523686759034824
0.01,0,10,5,0.5,200,0.7,0.649336913399387
0.01,0,10,5,0.5,200,1.0,0.6575211194775994
0.01,0,10,5,0.5,400,0.7,0.6538928348488598
0.01,0,10,5,0.5,400,1.0,0.6564972776496276
0.01,0,10,5,1.0,100,0.7,0.6479116865470126
0.01,0,10,5,1.0,100,1.0,0.6425419918711045
0.01,0,10,5,1.0,200,0.7,0.6501235965248178
0.01,0,10,5,1.0,200,1.0,0.6420118053452493
0.01,0,10,5,1.0,400,0.7,0.6479630874415769
0.01,0,10,5,1.0,400,1.0,0.643298802385156
0.01,0,10,20,0.5,100,0.7,0.6519418768851201
0.01,0,10,20,0.5,100,1.0,0.6549703393968053
0.01,0,10,20,0.5,200,0.7,0.6594820946736484
0.01,0,10,20,0.5,200,1.0,0.6569390113722146
0.01,0,10,20,0.5,400,0.7,0.6574542631938451
0.01,0,10,20,0.5,400,1.0,0.6551500211078569
0.01,0,10,20,1.0,100,0.7,0.6482760228656411
0.01,0,10,20,1.0,100,1.0,0.6509368458633581
0.01,0,10,20,1.0,200,0.7,0.6508627516547394
0.01,0,10,20,1.0,200,1.0,0.6488095061809767
0.01,0,10,20,1.0,400,0.7,0.6535158192455565
0.01,0,10,20,1.0,400,1.0,0.6497653331001846
0.01,1,3,0,0.5,100,0.7,0.6512878713631269
0.01,1,3,0,0.5,100,1.0,0.6565354231499422
0.01,1,3,0,0.5,200,0.7,0.6541455107710601
0.01,1,3,0,0.5,200,1.0,0.6546076791852218
0.01,1,3,0,0.5,400,0.7,0.6513265993788758
0.01,1,3,0,0.5,400,1.0,0.6493728621076912
0.01,1,3,0,1.0,100,0.7,0.6499887189264402
0.01,1,3,0,1.0,100,1.0,0.6564315181604137
0.01,1,3,0,1.0,200,0.7,0.6545745097843624
0.01,1,3,0,1.0,200,1.0,0.6593792278511207
0.01,1,3,0,1.0,400,0.7,0.649055526693747
0.01,1,3,0,1.0,400,1.0,0.6514824877784032
0.01,1,3,5,0.5,100,0.7,0.6519208628810406
0.01,1,3,5,0.5,100,1.0,0.6564099248438294
0.01,1,3,5,0.5,200,0.7,0.656035109235466
0.01,1,3,5,0.5,200,1.0,0.6556713490264124
0.01,1,3,5,0.5,400,0.7,0.650485736051436
0.01,1,3,5,0.5,400,1.0,0.6512453258729324
0.01,1,3,5,1.0,100,0.7,0.6509230111566034
0.01,1,3,5,1.0,100,1.0,0.6564315181604137
